batch_size,epochs,learning_rate,n_classes,regularization,tokenizer_max_len,train_accuracy,train_jaccard_macro,train_f1_macro,train_jaccard_samples,train_f1_micro,train_membership,val_accuracy,val_jaccard_macro,val_f1_macro,val_jaccard_samples,val_f1_micro,val_membership
16,6,5e-05,28,0.0,100,0.4264455194655609,0.223145421328795,0.3241710474784531,0.5086527681793751,0.5414560535229995,0.5761114950472241,0.4358643568005897,0.232549543985399,0.332507802465907,0.4994839660892001,0.5283520132835201,0.5602653888684114
16,6,5e-05,28,1e-05,100,0.4296475466482377,0.246822141106105,0.3578266515987415,0.5137072871074253,0.548878372076872,0.5834369960838517,0.4218577220788794,0.2467193648714528,0.3557057872355991,0.509307040176926,0.5443077402273789,0.5790637670475488
16,6,2e-05,28,0.0,100,0.486109191430546,0.3162253642937581,0.4412284210744179,0.578043461567995,0.6155185720222429,0.6522229900944483,0.4316255068190195,0.2618922047384243,0.3770835616600267,0.5107353483228898,0.5429230646829502,0.570770364909694
16,6,2e-05,28,1e-05,100,0.47431467403824,0.3338154592891253,0.4712821434439542,0.5684058972586963,0.6086298258894777,0.6433771020502188,0.4452635458901585,0.3149663902032099,0.4485667492621875,0.5337541467010689,0.5683035031359951,0.5978621452266863
16,6,0.0001,28,0.0,100,0.2953927666436305,0.0420434725375983,0.0755933219505795,0.3112358903478461,0.3008898246802027,0.3275512554710896,0.2934021378547733,0.0419935759043757,0.0755386283115027,0.3091903182209116,0.2991699136032525,0.3254699594544784
16,6,0.0001,28,1e-05,100,0.2953927666436305,0.0420434725375983,0.0755933219505795,0.3112358903478461,0.3008898246802027,0.3275512554710896,0.2934021378547733,0.0419935759043757,0.0755386283115027,0.3091903182209116,0.2991699136032525,0.3254699594544784
16,4,5e-05,28,0.0,100,0.5053674268601704,0.3888154071983982,0.5380259845241877,0.603378637794671,0.6418431866957953,0.6782077862243723,0.4758569848875783,0.3577959712303641,0.5059803455689765,0.5659018306917312,0.5990584240179054,0.6284555842241062
16,4,5e-05,28,1e-05,100,0.2953927666436305,0.0420434725375983,0.0755933219505795,0.3112358903478461,0.3008898246802027,0.3275512554710896,0.2934021378547733,0.0419935759043757,0.0755386283115027,0.3091903182209116,0.2991699136032525,0.3254699594544784
16,4,2e-05,28,0.0,100,0.4903708822851877,0.359494864560877,0.503130211919588,0.5844367657221838,0.6235952856415679,0.6601474314674038,0.464061924069296,0.35695746477198,0.4987595831361989,0.5579923823565549,0.59519660580347,0.6267969037965352
16,4,2e-05,28,1e-05,100,0.4834139599170698,0.3533965147615276,0.4969282601029761,0.5803010059126161,0.6200902104264668,0.6544805344390693,0.4721710283818651,0.3581080521656986,0.5012499435669345,0.563659540484089,0.5996502167135579,0.633984518982676
16,4,0.0001,28,0.0,100,0.2953927666436305,0.0420434725375983,0.0755933219505795,0.3112358903478461,0.3008898246802027,0.3275512554710896,0.2934021378547733,0.0419935759043757,0.0755386283115027,0.3091903182209116,0.2991699136032525,0.3254699594544784
16,4,0.0001,28,1e-05,100,0.3045611610228058,0.0429256103918965,0.0768965151609314,0.3294514095488707,0.3206554264605732,0.3554250172771251,0.3125691116844821,0.0557429890954239,0.0907328343067307,0.3323657697505836,0.3246082168572639,0.3531146332473276
